iter	Logloss	Accuracy
720	0.1115773528	0.9699408735
721	0.1111473552	0.9699790196
722	0.1111349514	0.9700171657
723	0.1111220831	0.9700171657
724	0.1111178063	0.9700171657
725	0.1111047832	0.9699027274
726	0.1110944817	0.9699027274
727	0.1110904893	0.9699027274
728	0.1110901802	0.9699027274
729	0.1110782973	0.9699408735
730	0.1110051426	0.9699027274
731	0.1108678895	0.9699790196
732	0.1108611025	0.9699790196
733	0.1108500923	0.9700171657
734	0.1107552476	0.9699790196
735	0.1107133383	0.9699790196
736	0.1106968119	0.9700171657
737	0.1106959218	0.9699790196
738	0.1106919474	0.9700171657
739	0.1106829933	0.9699790196
740	0.1105993584	0.9699790196
741	0.1102883198	0.9699027274
742	0.1102372371	0.9700171657
743	0.1102321108	0.9699408735
744	0.1101597484	0.9700171657
745	0.110151095	0.9700171657
746	0.1100853774	0.9699790196
747	0.1100779939	0.9699790196
748	0.110057726	0.9700553118
749	0.1100544531	0.9700171657
750	0.1100482464	0.9700171657
751	0.1100453855	0.9700171657
752	0.1100429914	0.9700171657
753	0.1100391766	0.9700553118
754	0.1099096512	0.9700171657
755	0.1098833976	0.9700171657
756	0.109756444	0.9700171657
757	0.1097058214	0.9699790196
758	0.109663417	0.9702078962
759	0.1095672269	0.9703223345
760	0.1095664414	0.9703223345
761	0.1095265862	0.9703604806
762	0.1094816924	0.9703223345
763	0.109471787	0.9703223345
764	0.1093281286	0.9703986267
765	0.1092867065	0.9703604806
766	0.1092806886	0.9703604806
767	0.1092799805	0.9703604806
768	0.1092707035	0.9703604806
769	0.1092703951	0.9703604806
770	0.1092532857	0.9703604806
771	0.1092506871	0.9703604806
772	0.1092269019	0.9703986267
773	0.1092258896	0.9703986267
774	0.1092147329	0.9703986267
775	0.1091756397	0.9704367728
776	0.1091740723	0.9704367728
777	0.1091708945	0.9704367728
778	0.1091644091	0.9703986267
779	0.1091198567	0.9704367728
780	0.1090991169	0.9704367728
781	0.1090712325	0.9704749189
782	0.1090562491	0.9704367728
783	0.1090554898	0.9704367728
784	0.1090486807	0.9704367728
785	0.1090355009	0.9704367728
786	0.1090101535	0.9704367728
787	0.1090047174	0.9704367728
788	0.1089907903	0.9704367728
789	0.1089841062	0.970513065
790	0.1089837962	0.970513065
791	0.108975135	0.970513065
792	0.1089741799	0.970513065
793	0.1089527997	0.9704749189
794	0.1088517104	0.9704749189
795	0.108846819	0.970513065
796	0.1088200115	0.970513065
797	0.1088162058	0.970513065
798	0.1088083563	0.970513065
799	0.1088047313	0.970513065
800	0.1087987138	0.9704749189
801	0.1087976379	0.9704749189
802	0.1087925864	0.970513065
803	0.1087919181	0.970513065
804	0.1087918434	0.970513065
805	0.1087918123	0.970513065
806	0.1086932812	0.9705893572
807	0.1086902721	0.9705893572
808	0.1086870807	0.9705893572
809	0.1086606798	0.9704367728
810	0.1086602858	0.9704367728
811	0.1086533342	0.9704749189
812	0.1086533007	0.9704749189
813	0.108651285	0.9704749189
814	0.1086294838	0.9704749189
815	0.1085968053	0.970513065
816	0.1085951789	0.9704749189
817	0.1084835369	0.9704367728
818	0.1084519956	0.9704749189
819	0.1084307762	0.970513065
820	0.1084157435	0.970513065
821	0.1084120015	0.970513065
822	0.108327058	0.970513065
823	0.1083128095	0.9705512111
824	0.1082005705	0.970513065
825	0.1081975546	0.970513065
826	0.1081936356	0.970513065
827	0.1081844617	0.9705893572
828	0.1081805589	0.9705893572
829	0.1081602115	0.9707037955
830	0.1081598562	0.9707037955
831	0.1079279671	0.9707800877
832	0.1079247983	0.9707800877
833	0.1078620004	0.9707800877
834	0.1078187003	0.9707419416
835	0.1077942999	0.9707419416
836	0.1077566798	0.9708182338
837	0.1077239084	0.9708182338
838	0.1077100587	0.9708563799
839	0.1077089501	0.9708563799
840	0.1077085826	0.9708563799
841	0.107706633	0.9708563799
842	0.1077059441	0.9708563799
